Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Exp_Prob                 
0                        0.03351426449086931      50001                    -21.0                    753.4                    10                       -20.333337783813477      925.3334350585938        54                       0.04740482568740845      0.97749955               
50000                    0.11708027131027646      100001                   -20.2                    729.6                    10                       -20.240737915039062      920.1666259765625        54                       0.0007687426405027509    0.95499955               
100000                   0.20085220005777146      150001                   -18.8                    984.2                    10                       -20.48148536682129       911.3704223632812        54                       0.002155281137675047     0.93249955               
150000                   0.2827142310142517       200001                   -20.5                    791.4                    10                       -20.29629898071289       921.7407836914062        54                       0.0009538108133710921    0.90999955               
200000                   0.36606005317635004      250001                   -19.3                    987.8                    10                       -20.040000915527344      993.0599975585938        50                       0.0035042320378124714    0.88749955               
250000                   0.5156717895799213       300001                   -10.8                    14023.0                  10                       -19.980396270751953      979.62744140625          51                       0.007997418753802776     0.8649995500000001       
300000                   0.5977941274642944       350001                   -19.7                    1118.9                   10                       -19.595741271972656      1052.340576171875        47                       0.005739178042858839     0.84249955               
350000                   0.6792256051301956       400001                   -18.6                    966.0                    10                       -19.916662216186523      1025.97900390625         48                       0.0061632441356778145    0.81999955               
400000                   0.7758628412750033       450001                   -13.5                    4017.5                   10                       -19.630435943603516      1078.391357421875        46                       0.0033222355414181948    0.7974995500000001       
450000                   0.8592242391904196       500001                   -15.0                    1433.4                   10                       -19.20929718017578       1133.9300537109375       43                       0.007409288547933102     0.77499955               
500000                   0.9438374905453788       550001                   -14.4                    1713.2                   10                       -19.261905670166016      1169.85693359375         42                       0.010239774361252785     0.75249955               
550000                   1.0300673831171459       600001                   -10.5                    2004.1                   10                       -18.902442932128906      1209.0732421875          41                       0.019898243248462677     0.72999955               
600000                   1.115294895834393        650001                   -14.2                    1768.2                   10                       -19.049999237060547      1234.9500732421875       40                       0.016644824296236038     0.70749955               
650000                   1.2653055415550867       700001                   -5.8                     14425.7                  10                       -18.769227981567383      1257.58984375            39                       0.006461626850068569     0.68499955               
700000                   1.3538105784522163       750001                   -9.8                     2260.6                   10                       -18.583332061767578      1354.527587890625        36                       0.012363383546471596     0.6624995499999999       
750000                   1.4415951169861687       800001                   -12.7                    2181.4                   10                       -18.32431983947754       1335.2161865234375       37                       0.010677151381969452     0.63999955               
800000                   1.529322623676724        850001                   -15.8                    2190.8                   10                       -18.055551528930664      1372.1668701171875       36                       0.007223308552056551     0.61749955               
850000                   1.617979506055514        900001                   -11.2                    2337.6                   10                       -18.117643356323242      1437.5                   34                       0.015795908868312836     0.5949995499999999       
900000                   1.7065633443991344       950001                   -13.4                    2387.9                   10                       -17.406246185302734      1538.53125               32                       0.004839019384235144     0.5724995500000001       
950000                   1.8334593400028016       1000001                  -10.8                    9746.9                   10                       -17.78787612915039       1500.0909423828125       33                       0.0041376021690666676    0.54999955               
1000000                  1.925354390475485        1050001                  -8.8                     2925.5                   10                       -16.866661071777344      1624.466552734375        30                       0.0055380528792738914    0.52749955               
1050000                  2.0300518471002578       1100001                  -3.4                     5402.7                   10                       -15.48147964477539       1802.0369873046875       27                       0.008588777855038643     0.50499955               
1100000                  2.122835106386079        1150001                  -7.7                     3080.1                   10                       -17.200000762939453      1629.8331298828125       30                       0.0029028544668108225    0.48249955               
1150000                  2.2152588190635045       1200001                  -10.7                    3036.8                   10                       -16.928571701049805      1751.142822265625        28                       0.005920750088989735     0.45999955               
1200000                  2.305276033812099        1250001                  -12.3                    2627.6                   10                       -15.269230842590332      1922.384521484375        26                       0.008137459866702557     0.43749955000000007      
1250000                  2.3984436908695432       1300001                  -7.3                     3335.9                   10                       -15.160001754760742      1994.3199462890625       25                       0.0023705996572971344    0.41499955               
1300000                  2.4903687352604336       1350001                  -6.4                     3160.4                   10                       -15.480000495910645      1940.639892578125        25                       0.018640540540218353     0.39249955000000003      
1350000                  2.5827280914121205       1400001                  2.2                      3291.5                   10                       -14.374999046325684      2046.291748046875        24                       0.010443136096000671     0.36999954999999995      
1400000                  2.676806186834971        1450001                  -0.7                     3587.4                   10                       -13.826087951660156      2153.30419921875         23                       0.0036546753253787756    0.34749955               
1450000                  2.7668761580520207       1500001                  7.7                      2866.9                   10                       -13.130435943603516      2169.73876953125         23                       0.005509799346327782     0.32499955               
1500000                  2.8589610865381028       1550001                  5.7                      3238.0                   10                       -11.749999046325684      2477.449951171875        20                       0.003586363047361374     0.30249955               
1550000                  2.9479084794388877       1600001                  9.2                      2649.7                   10                       -9.833333969116211       2616.389404296875        18                       0.004282172303646803     0.27999955               
1600000                  3.038460158507029        1650001                  3.7                      2975.5                   10                       -8.882353782653809       2857.82373046875         17                       0.003330502426251769     0.25749954999999997      
1650000                  3.162638079855177        1700001                  11.7                     9691.8                   10                       -5.411764621734619       2868.82373046875         17                       0.004973114468157291     0.23499954999999995      
1700000                  3.2513149258825513       1750001                  6.8                      2592.2                   10                       -4.133333206176758       3120.2001953125          15                       0.0036045752931386232    0.21249955000000004      
