Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Exp_Prob                 
1750000                  3.3365000450611113       1800001                  16.7                     1887.5                   10                       -1.6000006198883057      3162.60009765625         15                       0.003493312746286392     0.18999955000000002      
1800000                  3.4228954034381442       1850001                  14.0                     2103.8                   10                       1.0666667222976685       3221.199951171875        15                       0.0028264489956200123    0.16749955               
1850000                  3.5095181555218167       1900001                  17.3                     2176.5                   10                       3.6666667461395264       3286.733154296875        15                       0.0029921983368694782    0.14499954999999998      
1900000                  3.600334456894133        1950001                  8.5                      3025.8                   10                       5.124999523162842        3104.0625                16                       0.0022402387112379074    0.12249954999999996      
1950000                  3.6880688212977515       2000001                  12.6                     2268.4                   10                       9.764705657958984        2816.35302734375         17                       0.003371648723259568     0.1                      
2000000                  3.773732235034307        2050001                  15.3                     1849.9                   10                       10.588236808776855       2803.05908203125         17                       0.005520694889128208     0.1                      
2050000                  3.8584446718295413       2100001                  18.4                     1658.3                   10                       13.210527420043945       2546.842529296875        19                       0.0020939272362738848    0.1                      
2100000                  3.9460887576474084       2150001                  11.3                     2329.6                   10                       11.944443702697754       2687.0                   18                       0.002819484332576394     0.1                      
2150000                  4.030161871512731        2200001                  19.9                     1707.6                   10                       13.000001907348633       2467.4501953125          20                       0.0030459887348115444    0.1                      
2200000                  4.114070513910717        2250001                  18.8                     1699.1                   10                       12.210527420043945       2583.052978515625        19                       0.0029246422927826643    0.1                      
2250000                  4.199839907685916        2300001                  17.0                     2034.8                   10                       12.315790176391602       2601.84228515625         19                       0.002577104140073061     0.1                      
2300000                  4.2850174854861365       2350001                  17.6                     1926.1                   10                       12.421052932739258       2560.947265625           19                       0.0016177324578166008    0.1                      
2350000                  4.370345742967394        2400001                  20.0                     1778.4                   10                       13.549999237060547       2492.550048828125        20                       0.001521433237940073     0.1                      
2400000                  4.455145041611459        2450001                  20.3                     1679.6                   10                       11.473684310913086       2623.94775390625         19                       0.002316463738679886     0.1                      
2450000                  4.539868360029327        2500001                  19.0                     1805.1                   10                       14.190475463867188       2349.619140625           21                       0.002867127535864711     0.1                      
2500000                  4.6253311901622345       2550001                  18.3                     1933.5                   10                       14.761906623840332       2330.857177734375        21                       0.001414527534507215     0.1                      
2550000                  4.709845467474725        2600001                  18.2                     1733.6                   10                       13.899998664855957       2433.5498046875          20                       0.012263674288988113     0.1                      
2600000                  4.795233750542005        2650001                  18.3                     1895.9                   10                       13.250001907348633       2491.050048828125        20                       0.0015107669169083238    0.1                      
2650000                  4.882049926850531        2700001                  14.5                     2238.1                   10                       12.157894134521484       2565.263427734375        19                       0.00473661907017231      0.1                      
2700000                  4.966116779181692        2750001                  19.2                     1677.9                   10                       12.315790176391602       2568.052734375           19                       0.00915093719959259      0.1                      
2750000                  5.054478707313538        2800001                  12.9                     2512.1                   10                       13.100000381469727       2412.700439453125        20                       0.0021339321974664927    0.1                      
2800000                  5.153661050465372        2850001                  12.8                     4720.0                   10                       13.799999237060547       2409.250244140625        20                       0.0029796999879181385    0.1                      
2850000                  5.238071331646707        2900001                  17.9                     1792.1                   10                       15.047618865966797       2300.142822265625        21                       0.002949679736047983     0.1                      
2900000                  5.322334322664473        2950001                  19.3                     1799.0                   10                       13.049999237060547       2491.650390625           20                       0.002742215758189559     0.1                      
