Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Param_Std                
0                        0.018027941319677564     200000.0                 67.03329561257135        1000.0                   32                       25.34860930702724        1000.0                   200                      0.4797104299068451       
10                       0.1784374388721254       2200000.0                138.54174850265053       1000.0                   32                       54.5298864609797         1000.0                   200                      0.38707321882247925      
20                       0.3402410560846329       4200000.0                143.30680620501357       1000.0                   32                       104.97954937896472       1000.0                   200                      0.28648847341537476      
30                       0.49948492334948646      6200000.0                165.54681396658134       1000.0                   32                       146.72968341347752       1000.0                   200                      0.2521486282348633       
40                       0.6583474005593194       8200000.0                199.81142718641559       1000.0                   32                       179.7966592716895        1000.0                   200                      0.213881254196167        
50                       0.816645071970092        10200000.0               214.64108348835163       1000.0                   32                       202.27325037868005       1000.0                   200                      0.20055150985717773      
60                       0.9750297543737624       12200000.0               210.41820599632638       1000.0                   32                       205.16127844694014       1000.0                   200                      0.18444260954856873      
70                       1.1342531796958712       14200000.0               218.34531629434173       1000.0                   32                       210.0237505560971        1000.0                   200                      0.17597538232803345      
80                       1.2931173741817474       16200000.0               210.77867407202484       1000.0                   32                       215.57972757435837       1000.0                   200                      0.17171399295330048      
90                       1.451902221971088        18200000.0               213.38583632304403       1000.0                   32                       215.07410254811643       1000.0                   200                      0.1581968516111374       
100                      1.6111743772029876       20200000.0               221.51386935559094       1000.0                   32                       217.05617203890816       1000.0                   200                      0.15775831043720245      
110                      1.770139424999555        22200000.0               235.26657844919333       1000.0                   32                       215.0410849876198        1000.0                   200                      0.15760758519172668      
120                      1.92945618947347         24200000.0               235.9285494928217        1000.0                   32                       217.72924916597103       1000.0                   200                      0.16502220928668976      
130                      2.0898464591635597       26200000.0               221.42496114743966       1000.0                   32                       224.8842241220669        1000.0                   200                      0.16460484266281128      
140                      2.2500097836388484       28200000.0               237.76101894462136       1000.0                   32                       226.35640289294884       1000.0                   200                      0.16179004311561584      
150                      2.4125126524766287       30200000.0               224.3105078061551        1000.0                   32                       221.5602663144934        1000.0                   200                      0.1602204442024231       
160                      2.578098681370417        32200000.0               231.57458337179332       1000.0                   32                       228.3309833015822        1000.0                   200                      0.15161649882793427      
170                      2.7376278094450632       34200000.0               252.34634330022158       1000.0                   32                       232.90120705741953       1000.0                   200                      0.15335534512996674      
180                      2.89675736076302         36200000.0               246.05621799582514       1000.0                   32                       226.66619894486584       1000.0                   200                      0.1583569496870041       
190                      3.0565631438626184       38200000.0               256.7715201199245        1000.0                   32                       233.92771990327347       1000.0                   200                      0.16394904255867004      
200                      3.2187723738617366       40200000.0               259.49296767516677       1000.0                   32                       233.50106978462654       1000.0                   200                      0.17115052044391632      
210                      3.3810136466556124       42200000.0               237.90948075960932       1000.0                   32                       236.34808911531974       1000.0                   200                      0.16483591496944427      
220                      3.5398129322131475       44200000.0               229.26535816882551       1000.0                   32                       239.68238401090002       1000.0                   200                      0.17769162356853485      
230                      3.697813756134775        46200000.0               254.80815813929257       1000.0                   32                       246.73051872208217       1000.0                   200                      0.16535250842571259      
240                      3.863498699929979        48200000.0               259.72885953489276       1000.0                   32                       239.66320314310178       1000.0                   200                      0.16785451769828796      
