Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Action_Bound_Loss        Adv_Mean                 Adv_Std                  
0                        0.00428520381450653      4096                     0.1075614375023482       1000.0                   32                       3.327576160430908        1000.0                   4                        0.15858113765716553      0.0033397118095308542    0.0                      0.3347688615322113       0.11834011226892471      
50                       0.0423264596859614       208896                   47.505171837413485       1000.0                   32                       15.713197708129883       1000.0003051757812       204                      7.781385898590088        0.01617518626153469      3.2622888284095097e-06   0.330790251493454        1.2929425239562988       
100                      0.08245893438657124      413696                   84.235166326702          1000.0                   32                       66.6153335571289         1000.0003051757812       204                      26.11798858642578        -0.0021985219791531563   0.0004124382103327662    0.5616804361343384       2.5206761360168457       
150                      0.1225127649307251       618496                   115.33995161665814       1000.0                   32                       92.27242279052734        1000.0003051757812       204                      43.4674186706543         -0.02933855541050434     7.1629328886047e-05      1.5247873067855835       3.2199878692626953       
200                      0.16025926053524017      823296                   46.16886219764217        1000.0                   32                       41.53805160522461        1000.0003051757812       204                      3.9579217433929443       0.0006878725253045559    0.00019858512678183615   -0.2486002892255783      0.9003280997276306       
250                      0.19417080806361303      1028096                  52.15019498486198        1000.0                   32                       37.910072326660156       1000.0003051757812       204                      6.972780227661133        0.0026264386251568794    7.409482350340113e-06    0.1834104061126709       1.2052996158599854       
300                      0.23045483277903664      1232896                  68.81877430277774        1000.0                   32                       51.02522277832031        1000.0003051757812       204                      9.395075798034668        0.03875832259654999      0.0004306129121687263    -0.0538468174636364      1.3904320001602173       
350                      0.266093560523457        1437696                  86.25366237878688        1000.0                   32                       67.2913589477539         1000.0003051757812       204                      18.83126449584961        0.027209248393774033     0.0005934997461736202    0.18607215583324432      2.0061380863189697       
400                      0.3111542413632075       1642496                  47.79491135096825        1000.0                   32                       82.54222106933594        1000.0003051757812       204                      52.0736083984375         0.01292694266885519      5.946648329313575e-08    -4.421789646148682       4.177569389343262        
450                      0.3479607958263821       1847296                  127.65659895213864       1000.0                   32                       101.50807189941406       1000.0003051757812       204                      55.24797058105469        -0.013628636486828327    0.00021511269733309746   -0.7028948068618774      3.6838183403015137       
